# Dit zijn NL vertalingen van verschillende pakketten die niet standaard vertaald werden.,,,
,,,
# Porto (theme),,,
Your Checkout Progress,Afreken-proces,,
Card Verification Number,Verificatienummer,,
01-02-03,%3 producten,,
Regular Price,was,,
Shop By,Filter,,
Remove item,Verwijder,,
Proceed to Checkout,Afrekenen,,
Grand Total,Totaal incl. Btw,,
Review by,Door,,
View Order,Bekijk,,
Update Shopping Cart,Update Winkelwagen,,
Print Order,Print,,
Move to Wish List,Verplaats,,
Copy to Wish List,Kopieër,,
Move Selected to Wish List,Verplaats Selectie,,
Copy Selected to Wish List,Kopieër Selectie,,
%1 items in wish list,%1 producten,,
1 item in wish list,1 product,,
Continue to Shipping Information,Kies Bezorgmethode,,
Go to Checkout,Afrekenen,,
View and edit cart,Toon Winkelwagen,,
Write,Mail,,
Us,Ons,,
Offer Ends In:,Aanbod Geldt Tot:,,
Days,Dagen,,
Hours,Uren,,
Minutes,Minuten,,
Seconds,Seconden,,
Previous Product,Vorig Product,,
Next Product,Volgend Product,,
Are you sure you want to remove all items from your shopping cart?,Weet je zeker dat je alle artikelen uit je winkelwagen wilt verwijderen?,,
As low as,Vanaf,,
Cancel,Annuleren,,
Something wrong while deleting your account. Please contact the store owner.,Er is iets mis gegaan tijdens het verwijderen van uw account. Neem a.u.b. contact met ons op om het probleem te verhelpen.,,
You will go to our homepage in 5 seconds.,U zal over 5 seconden naar de homepage doorgestuurd worden.,,
,,,
# Estimated delivery date,,,
Monday,Maandag,,
Tuesday,Dinsdag,,
Wednesday,Woensdag,,
Thursday,Donderdag,,
Friday,Vrijdag,,
Saturday,Zaterdag,,
Sunday,Zondag,,
Mon,Ma,,
Tue,Di,,
Wed,Wo,,
Thu,Do,,
Fri,Vr,,
Sat,Za,,
Sun,Zo,,
January,Januari,,
February,Februari,,
March,Maart,,
April,April,,
May,Mei,,
June,Juni,,
July,Juli,,
August,Augustus,,
September,September,,
October,Oktober,,
November,November,,
December,December,,
,,,
# Mageplaza GDPR,,,
Delete Account,Verwijder Account,,
Delete your account,Verwijder uw account,,
Are you sure you want to delete your account?,Weet u zeker dat u uw account wilt verwijderen?,,
Your account has been deleted.,Uw account is verwijderd.,,
,,,
# MageSolution GDPR,,,
GDPR,Privacy,,
We deleted your account.,Uw account is verwijderd.,,
You do not agree with the storage and handling of your data by this website.,U gaat niet akkoord met het opslaan en de verwerking van uw data door deze website.,,
Data Access,Data Toegang,,
Erase Account,Account Verwijderen,,
Submit,Bevestig,,
,,,
# Mirasvit Sphinx Search Ultimate,,,
Popular suggestions,Populaire suggesties,,
Show all %1 results →,Toon alle %1 resultaten →,,
"Sorry, nothing found for ""%1"".","Sorry, niks gevonden voor ""%1"".",,
Show all %d results →,Toon alle %d resultaten →,,
"Sorry, nothing has been found for ""%s"".","Sorry, niks gevonden voor ""%s"".",,
Related products,Gerelateerde producten,,
,,,
Search...,Zoeken...,,
You added %1 to your shopping cart.,%1 is toegevoegd aan de winkelwagen,,
"You added %1 to your <a href=""%2"">shopping cart</a>.","%1 is toegevoegd aan de <a href=""%2"">winkelwagen</a>.",,
My Account,Mijn account,,
Your shopping cart is ready for checkout.,Uw winkelwagen is klaar om af te rekenen.,,
Share Via Email,Deel via e-mail,,
Get Link To Share,Link ophalen om te delen,,
Share Via SMS,Deel via sms,,
Recipient Email,E-mail van ontvanger wijzigen,,
Your Name,Uw naam,,
Your Email,Jouw email,,
Message (optional),Bericht (optioneel),,
Recipient Email,Ontvanger e-mail,,
Recipient Number (including country code),Ontvangernummer (inclusief landcode),,
Email has been sent successfully.,E-mail is succesvol verzonden.,,
Share,Deel,,
Enter Email Address,Vul email adres in,,
Enter Your Name,Vul uw naam in,,
Enter Your Email,Voer uw e-mail in,,
Enter Mobile Number,Voer mobiel nummer in,,
Or,Of,,
Link to share: %1$s,Link om te delen: %1$s,,
Your Name and Email are required. Please retry.,Uw naam en e-mailadres zijn vereist. Probeer het opnieuw.,,
"Sorry, this action is not allowed.","Sorry, deze actie is niet toegestaan.",,
"Sorry, the link has been expired","Sorry, de link is verlopen",,
Recipient Email is required. Please retry.,E-mailadres van de ontvanger is vereist. Probeer het opnieuw.,,
Recipient Number is required. Please retry.,Ontvangernummer is vereist. Probeer het opnieuw.,,
Share Shopping Cart,Winkelwagen delen,,
Choose sharing option,Winkelwagen delen,,
Recipient Email(s),E-mailadres(sen) van ontvanger(s),,
Enter Each Email Address in Next Line,Voer elk e-mailadres in op de volgende regel,,
Get Link,Link ophalen om te delen,,
Get link,Link ophalen om te delen,,
Generating Link. Please wait..,Link genereren...,,
%1 shared his shopping cart from %2 with you. Please click on link %3 to view shopping cart contents.,Ik heb bij %2 een winkelmand gevuld en deze wil ik graag met je delen. Bekijk hem via deze link: %3,,
All %1,Alle %1,,
Shared Shopping Carts,Gedeelde Winkelwagens,,
Subtotal,Totaal,module,Magento_Tax
More Choices:,Gerelateerde producten,,
You might also like:,Gerelateerde producten,,
You can create an account after checkout.,Je kunt een account maken na het afrekenen.,,
You have no items in your shopping cart.,Je hebt geen product(en) in je winkelwagen.,,
"If you have an account, sign in with your email address.","Als je een account hebt, meld je dan aan met je e-mailadres.",,
If there is an account associated with %1 you will receive an email with a link to reset your password.,Als er een account is gekoppeld aan %1 dan ontvang je een e-mail met een link om het wachtwoord opnieuw in te stellen.,,
Please enter your email address below to receive a password reset link.,Voer hieronder je e-mailadres in om een wachtwoord reset link te ontvangen.,,
There was recently a request to change the password for your account.,Er was onlangs een aanvraag om het wachtwoord van je account te wijzigen.,,
"If you requested this change, set a new password here:","Indien je deze wijziging hebt aangevraagd, kan je hier een nieuw wachtwoord instellen:",,
"If you did not make this request, you can ignore this email and your password will remain the same.","Indien je deze aanvraag niet hebt ingediend, kan je deze email negeren en het wachtwoord zal ongewijzigd blijven.",,
You updated your password.,Je wachtwoord is bijgewerkt.,,
You have not shared any shopping cart yet.,Je hebt nog geen winkelwagens gedeeld.,,
Do you have any comments?,Opmerkingen,,
Enter your comments...,Plaats hier uw opmerkingen...,,
Select Some Options,Zoeken...,,
Search,Zoeken...,,
Shopping Options,Filters,,
Details,Informatie,,
Popular Suggestions,Populaire suggesties,,
View all %1 results →,Laat alle %1 resultaten zien →,,
View all %d results →,Laat alle %d resultaten zien →,,
"Sorry, nothing has been found for ""%1"".","Sorry, Maar we hebben niks gevonden voor ""%1"".",,
"Sorry, nothing has been found for %s"".""","Sorry, Maar we hebben niks gevonden voor %s"".""",,
Show Password,Laat wachtwoord zien,,
Customer Login,Klant Login,,
Create New Customer Account,Nieuw account aanmaken,,
Tax/VAT Number,BTW nummer,,
Cart Subtotal,Subtotaal,,
Show (%1) more,Toon (%1) meer,,
Shipping Address,Afleveradres,,
Delivered On,Geleverd op,,
Delivery Date,Bezorgdatum,,
No delivery dates available.,Geen leverdata beschikbaar.,,
Additional Delivery Charge,Extra bezorgkosten,,
Monday,Maandag,,
Tuesday,Dinsdag,,
Wednesday,Woensdag,,
Thursday,Donderdag,,
Friday,Vrijdag,,
Saturday,Zaterdag,,
Sunday,Zondag,,
Mon,Ma,,
Tue,Di,,
Wed,Wo,,
Thu,Do,,
Fri,Vr,,
Sat,Za,,
Sun,Zo,,
January,Januari,,
February,Februari,,
March,Maart,,
April,April,,
May,Mei,,
June,Juni,,
July,Juli,,
August,Augustus,,
September,September,,
October,Oktober,,
November,November,,
December,December,,
Type,Type,,
Cookie Settings,COOKIES,,
Essential cookies,Functionele cookies toestaan,,
Marketing cookies,Marketing cookies toestaan,,
Email,E-mailadres,,
Place Order,Plaats bestelling,,
Shipping Info,Verzendadres,,
Selected Delivery Date:,Leverdatum:,,
Delivery,Afleveren,,
Pickup,Ophalen PostNL-punt,,
At the first opportunity,Levering op afleveradres,,
<<<<<<< HEAD
It's a default billing address.,Ingesteld als standaard factuuradres,,
It's a default shipping address.,Ingesteld als standaard afleveradres,,
=======
>>>>>>> a4d3a9c (bm)
